33333,8:30.0003000030
33332,8:30.0012000480
33331,8:30.0021001470
33330,8:30.0030003000
33329,8:30.0039005070
33328,8:30.0048007681
4166,64:30.0048007681
33327,8:30.0057010832
33326,8:30.0066014523
33325,8:30.0075018754
33324,8:30.0084023526
33323,8:30.0093028838
33322,8:30.0102034691
33321,8:30.0111041085
33320,8:30.0120048019
4165,64:30.0120048019
33319,8:30.0129055493
33318,8:30.0138063509
33317,8:30.0147072065
33316,8:30.0156081162
33315,8:30.0165090799
33314,8:30.0174100978
33313,8:30.0183111698
1041,256:30.0192122958
33312,8:30.0192122958
4164,64:30.0192122958
33311,8:30.0201134760
33310,8:30.0210147102
33309,8:30.0219159986
33308,8:30.0228173411
33307,8:30.0237187378
33306,8:30.0246201885
33305,8:30.0255216934
33304,8:30.0264232524
4163,64:30.0264232524
33303,8:30.0273248656
33302,8:30.0282265329
33301,8:30.0291282544
33300,8:30.0300300300
33299,8:30.0309318598
33298,8:30.0318337437
33297,8:30.0327356818
33296,8:30.0336376741
4162,64:30.0336376741
33295,8:30.0345397206
33294,8:30.0354418213
33293,8:30.0363439762
33292,8:30.0372461852
33291,8:30.0381484485
33290,8:30.0390507659
33289,8:30.0399531376
33288,8:30.0408555635
4161,64:30.0408555635
33287,8:30.0417580436
33286,8:30.0426605780
33285,8:30.0435631665
33284,8:30.0444658093
33283,8:30.0453685064
33282,8:30.0462712577
33281,8:30.0471740632
1040,256:30.0480769230
260,1024:30.0480769230
33280,8:30.0480769230
4160,64:30.0480769230
33279,8:30.0489798371
33278,8:30.0498828054
33277,8:30.0507858280
33276,8:30.0516889049
33275,8:30.0525920360
33274,8:30.0534952214
33273,8:30.0543984612
33272,8:30.0553017552
4159,64:30.0553017552
33271,8:30.0562051035
33270,8:30.0571085061
33269,8:30.0580119630
33268,8:30.0589154743
33267,8:30.0598190398
33266,8:30.0607226597
33265,8:30.0616263339
33264,8:30.0625300625
4158,64:30.0625300625
33263,8:30.0634338454
33262,8:30.0643376826
33261,8:30.0652415742
33260,8:30.0661455201
33259,8:30.0670495204
33258,8:30.0679535750
33257,8:30.0688576840
33256,8:30.0697618474
4157,64:30.0697618474
33255,8:30.0706660652
33254,8:30.0715703374
33253,8:30.0724746639
33252,8:30.0733790448
33251,8:30.0742834801
33250,8:30.0751879699
33249,8:30.0760925140
1039,256:30.0769971126
33248,8:30.0769971126
4156,64:30.0769971126
33247,8:30.0779017655
33246,8:30.0788064729
33245,8:30.0797112347
33244,8:30.0806160510
33243,8:30.0815209216
33242,8:30.0824258468
33241,8:30.0833308263
33240,8:30.0842358604
4155,64:30.0842358604
33239,8:30.0851409488
33238,8:30.0860460918
33237,8:30.0869512892
33236,8:30.0878565411
33235,8:30.0887618474
33234,8:30.0896672082
33233,8:30.0905726235
33232,8:30.0914780934
4154,64:30.0914780934
33231,8:30.0923836177
33230,8:30.0932891965
33229,8:30.0941948298
33228,8:30.0951005176
33227,8:30.0960062599
33226,8:30.0969120568
33225,8:30.0978179082
33224,8:30.0987238141
4153,64:30.0987238141
33223,8:30.0996297745
33222,8:30.1005357895
33221,8:30.1014418590
33220,8:30.1023479831
33219,8:30.1032541617
33218,8:30.1041603949
33217,8:30.1050666827
1038,256:30.1059730250
33216,8:30.1059730250
4152,64:30.1059730250
33215,8:30.1068794219
33214,8:30.1077858734
33213,8:30.1086923794
33212,8:30.1095989401
33211,8:30.1105055553
33210,8:30.1114122252
33209,8:30.1123189496
33208,8:30.1132257287
4151,64:30.1132257287
33207,8:30.1141325624
33206,8:30.1150394507
33205,8:30.1159463936
33204,8:30.1168533911
33203,8:30.1177604433
33202,8:30.1186675501
33201,8:30.1195747116
33200,8:30.1204819277
4150,64:30.1204819277
33199,8:30.1213891984
33198,8:30.1222965238
33197,8:30.1232039039
33196,8:30.1241113387
33195,8:30.1250188281
33194,8:30.1259263722
33193,8:30.1268339710
33192,8:30.1277416244
4149,64:30.1277416244
33191,8:30.1286493326
33190,8:30.1295570955
33189,8:30.1304649130
33188,8:30.1313727853
33187,8:30.1322807123
33186,8:30.1331886940
33185,8:30.1340967304
1037,256:30.1350048216
33184,8:30.1350048216
4148,64:30.1350048216
33183,8:30.1359129674
33182,8:30.1368211681
33181,8:30.1377294234
33180,8:30.1386377335
33179,8:30.1395460984
33178,8:30.1404545180
33177,8:30.1413629924
33176,8:30.1422715215
4147,64:30.1422715215
33175,8:30.1431801055
33174,8:30.1440887441
33173,8:30.1449974376
33172,8:30.1459061859
33171,8:30.1468149889
33170,8:30.1477238468
33169,8:30.1486327595
33168,8:30.1495417269
4146,64:30.1495417269
33167,8:30.1504507492
33166,8:30.1513598263
33165,8:30.1522689582
33164,8:30.1531781449
33163,8:30.1540873865
33162,8:30.1549966829
33161,8:30.1559060341
33160,8:30.1568154402
4145,64:30.1568154402
33159,8:30.1577249012
33158,8:30.1586344170
33157,8:30.1595439876
33156,8:30.1604536132
33155,8:30.1613632936
33154,8:30.1622730288
33153,8:30.1631828190
1036,256:30.1640926640
